Script started on 2025-11-23 11:12:40+00:00 [COMMAND="python benchmk_attn_unified.py --mask_id=1" TERM="xterm" TTY="/dev/pts/0" COLUMNS="187" LINES="17"]
 PyTorch version: 2.7.0a0+79aa17489c.nv25.04
 CUDA version 	: 12.9
 GPU cuda:(0) 	: NVIDIA A100-PCIE-40GB 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Sliding_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.064 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.225 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.094 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.059 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.050 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.064 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.226 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.096 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.060 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.049 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.072 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.229 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.094 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.288 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.054 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.065 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.398 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.095 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.577 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.049 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.141 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 1.460 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.174 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.050 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.416 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 5.393 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 0.359 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.050 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.062 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.268 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.094 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.059 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.050 ms / iter

 bs:8 | h_num:12 | seq:256  |  FlashAttn2  : 0.063 ms / iter
 bs:8 | h_num:12 | seq:256  |  Torch Naive : 0.274 ms / iter
 bs:8 | h_num:12 | seq:256  |   FlexAttn   : 0.093 ms / iter
 bs:8 | h_num:12 | seq:256  |  ByteTrans   : 0.079 ms / iter
 bs:8 | h_num:12 | seq:256  |  Our Kernel  : 0.049 ms / iter

 bs:8 | h_num:12 | seq:512  |  FlashAttn2  : 0.077 ms / iter
 bs:8 | h_num:12 | seq:512  |  Torch Naive : 0.794 ms / iter
 bs:8 | h_num:12 | seq:512  |   FlexAttn   : 0.108 ms / iter
 bs:8 | h_num:12 | seq:512  |  ByteTrans   : 0.771 ms / iter
 bs:8 | h_num:12 | seq:512  |  Our Kernel  : 0.055 ms / iter

 bs:8 | h_num:12 | seq:1024  |  FlashAttn2  : 0.216 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Torch Naive : 2.584 ms / iter
 bs:8 | h_num:12 | seq:1024  |   FlexAttn   : 0.289 ms / iter
