Script started on 2025-11-23 11:18:01+00:00 [COMMAND="python benchmk_attn_unified.py --mask_id=3" TERM="xterm" TTY="/dev/pts/0" COLUMNS="187" LINES="17"]
 PyTorch version: 2.7.0a0+79aa17489c.nv25.04
 CUDA version 	: 12.9
 GPU cuda:(0) 	: NVIDIA A100-PCIE-40GB 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for BigBird_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.062 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.159 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.094 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.056 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.049 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.063 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.153 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.094 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.057 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.047 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.069 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.155 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.094 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.278 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.055 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.062 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.242 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.095 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.569 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.051 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.160 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 0.929 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.197 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.101 ms / iter

